city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
lucea,0.0,GR,1612639955.0,53.0,37.8,22.8,13.33,0.89
san cristobal,86.0,JP,1612639956.0,84.0,39.2667,141.8833,4.24,2.17
camacha,1.0,US,1612639957.0,55.0,45.1805,-89.6835,-16.67,7.72
tervel,99.0,MG,1612639958.0,91.0,-13.2,49.05,23.53,0.75
alakurtti,90.0,US,1612639668.0,93.0,32.5251,-93.7502,9.44,3.6
pangnirtung,90.0,CA,1612639797.0,58.0,50.1001,-91.917,-25.0,6.69
erzin,0.0,AR,1612639689.0,20.0,-26.7852,-60.4388,34.82,3.07
kedrovyy,69.0,MX,1612639962.0,17.0,21.0167,-102.1667,25.24,6.46
shujalpur,10.0,TD,1612639963.0,20.0,13.2954,19.6966,20.05,3.25
zatoka,20.0,US,1612639956.0,68.0,20.8947,-156.47,21.67,1.34
hualmay,100.0,JP,1612639966.0,93.0,42.9172,143.2044,-8.58,0.9
ashland,20.0,US,1612639968.0,40.0,43.2128,-75.4557,-1.0,8.23
castelldefels,0.0,CN,1612639969.0,100.0,25.3378,110.026,11.0,0.9
atar,93.0,BR,1612639970.0,93.0,-17.8572,-42.8589,20.96,1.81
maldonado,0.0,TM,1612639971.0,87.0,42.0551,59.3788,6.0,3.09
barbar,100.0,RU,1612639972.0,93.0,44.69,37.59,0.0,6.0
pohrebyshche,13.0,SO,1612639973.0,75.0,10.4396,45.0143,23.9,2.56
mucuri,94.0,BR,1612639974.0,86.0,-8.2578,-49.2647,26.89,2.02
lake havasu city,75.0,AU,1612639894.0,94.0,-41.45,147.1667,13.33,3.09
kota belud,75.0,BR,1612639977.0,83.0,-19.6272,-43.8897,25.0,2.06
ascension,0.0,SO,1612639978.0,77.0,5.3505,48.5268,25.26,6.68
nyurba,99.0,PL,1612639979.0,77.0,52.2522,21.269,-8.89,4.54
bhadasar,90.0,US,1612639982.0,93.0,34.1743,-97.1436,6.67,4.12
trairi,0.0,ZA,1612639821.0,30.0,-28.4478,21.2561,30.0,4.12
gorontalo,90.0,US,1612639984.0,77.0,64.8378,-147.7164,-22.22,0.49
fortuna,40.0,CA,1612639985.0,69.0,55.2166,-119.4361,-28.0,2.06
tuy hoa,93.0,NZ,1612639986.0,87.0,-41.4122,175.5153,16.11,1.03
dicabisagan,75.0,CL,1612639988.0,33.0,-45.5752,-72.0662,25.0,2.06
